summary,letter
"벚꽃 축제 보러 가기로 했다.
줄 게 있다고 했다.
서점에 가고 싶다고 했다.","다현이에게
안녕 다현아! 오늘은 네가 태어난 날이야! 생일 정말 축하해. 미역국을 챙겨 먹었어? 
오늘 밖을 살짝 봤는데 꽃이 피기 시작하더라고. 너랑 벚꽃축제 갔던 기억이 새록새록 나더라. 밖 공기를 마시면서 너랑 벚꽃 구경을 하니까 기분이 엄청 좋았었어. 산책하면서 서로 어떻게 지냈는지 물어보고 얘기하는 것도 반가웠어. 그때 네가 찍은 벚꽃 사진이 너무 마음에 들어서 프로필 사진으로 해놓았다! 네가 찍어준 내 사진도 마음에 들어. 잘 찍어줘서 고마워.
네가 부산 기념품 줬을 때 부산 가서 나를 생각해 줬다는게 진짜 감동이었어. 가방에 달아 놓았는데 가방을 메고 있을 때마다 네가 떠올라서 좋아. 
지난번에 서점에 가고 싶다고 했잖아. 우리 서점도 가고 근처에서 아이스크림도 먹자. 빨리 만나고 싶어. 생일 축하해 다현아.
하님이가"
"아이돌 콘서트 티켓팅 도와주겠다고 했다.
밥 사줘야된다고 했다.","다현이에게
안녕, 이다현! 생일인데 행복한 시간 보내기를 바랄게. 
몇 달 전에 팬미팅 티켓팅 도와줘서 정말 고마워. 그때 티켓 예매 사이트가 처음이라서 얼마나 많이 검색했는지 몰라. 다행히도 네가 흔쾌히 도와주겠다고 해서 하루 전날에 연습을 많이 했었어.네 덕분에 첫 콘서트와 마지막 콘서트 모두 1층 좌석을 잡아서 하루 종일 기분이 너무 좋았었어! 고마워 다현아. 
다음에 내 도움이 필요하거나 콘서트 같이 갈 사람 필요하면 불러줘! 너랑 시간 같이 보내는거 너무 좋아. 
그리고 티켓팅 성공해서 내가 밥 사줬었잖아. 근처에 작은 식당밖에 없어서 그냥 먹었는데 좀 아쉬움이 드네. 다음에 만나면 내가 고기를 살게. 너랑 함께 있으면 기분이 좋고 즐거워. 항상 고맙고 우리 빨리 만나자. 생일 축하해.
하님이가."
"보드게임 카페 가고 싶다고 했다.
요즘 계속 우울하다고 했다.","다현이에게
다현아! 하님이야. 생일 진심으로 축하해. 요즘 어떻게 지내? 
네가 요즘 우울하다고 해서 정말 걱정돼. 너의 친구로서 네가 어려운 감정을 안고 있다는 걸 알고, 네 곁에 있어 주지 못해서 미안해. 내가 도울 수 있을 만큼 도울 거니까 언제든지 전화해도 좋아. 어떤 얘기든지 나에게 털어놓아도 돼. 네가 힘들어하는 걸 혼자 감당하지 않으면 좋겠어. 서로 힘을 보태며 어려운 시간을 이겨내자. 
그리고 네가 개강하기 전에 보드게임 카페 같이 가자고 했었잖아, 곧 가자! 나도 오랜만에 얼굴 보고 너랑 재미있게 놀고 싶어서 기대돼. 걱정과 스트레스 다 잊고 즐거운 시간을 보내자. 개강할 날이 얼마 남지 않았는데 바빠지기 전에 너랑 알차게 놀고 싶어. 오늘 행복한 생일 보내길 바라. 빨리 만나고 싶어.
하님이가"
"중간고사 끝나고 한강 가기로 했다.
자전거 타기로 했다.","태리에게,
태리야 안녕! 오늘은 너의 특별한 날, 너의 생일이야. 생일 진심으로 축하해.
우리가 중간고사 끝나고 한강 가기로 한 날이 생각나. 함께 물가에 앉아서 시원한 바람을 느끼며 웃고 떠드는 모습이 너무 행복했다. 강물이 흐르는 소리를 듣고 너와 함께 소소한 대화를 나누니까 시간이 느릿하게 흘러가는 것 같았어. 그 순간들을 너랑 함께해서 너무 좋았어. 
너와 함께 자전거를 타고 주변을 돌아다녔던 것도 잊지 못할 소중한 시간이야. 바람을 가르며 힘차게 나아가는 느낌이 정말 기분 좋았어. 그때 그 순간이 너무 편안하고 즐거워서 시간 가는 줄도 몰랐어. 너와 함께하는 모든 순간이 내게는 특별해. 
다음에 이런 대 와서 너랑 일상적 대화를 나누고 즐겁게 보내고 싶어. 생일 축하해 태기야. 네 미래에 행복과 좋은 일들이 가득하길 바라.
하님이가"
"수강 신청을 같이 하기로 했다. 
인생네컷을 같이 찍자고 했다.
","태리에게,
안녕 김태리! 생일 축하해.
이번 학기 수강 신청 때 도와줘서 정말 고마워. 이번 수강은 망했다고 생각해서 그때 진짜 울고 싶었는데! 네 도움 덕분에 더욱 수월하게 수강 신청을 마칠 수 있었어. 고마워 태리야. 나중에 나의 도움이 필요하면 항상 얘기할 수 있는 거 알지? 내가 할 수 있는 만큼 도와줄게. 우리 서로가 서로에게 도움이 되는 친구가 되자.
저번에 네가 계속 인생네컷 같이 찍자고 했잖아. 다음에 수업 끝나고 같이 찍자! 생각해 보니 우리 학교에서 많은 시간을 같이 보냈는데 찍은 사진이 하나도 없더라. 사진도 많이 찍고 학교 앞 맛집도 가고 즐거운 시간을 보내는거야! 너무 기대된다. 
태리야, 올해가 행복한 일들로 가득하고, 학업과 모든 일들이 순조로웠으면 좋겠어. 오늘 생일 너무 축하해.
하님이가"
"알바를 같이 하기로 했다.
미분적분학1을 같이 공부하자고 했다.
","태리에게,
안녕 김태리! 오늘은 너의 특별한 날이네. 생일 진심으로 축하해.
함께 아르바이트를 하던 그때의 순간들이 떠오르네. 아르바이트하는데 엄청 힘들고 피곤한 날들도 있었지만, 너랑 일을 하니까 덜 피곤하고 즐겁더라고. 알바하면서 긍정적인 너의 모습이 나한테 큰 힘이 됐어. 우리 오래오래 같이하자. 
아르바이트 같이하는 것도 좋지만 퇴근하고 너랑 저녁 같이 먹는 것이 더 즐거웠어. 밥을 먹으면서 자주 대화하니까 서로에게 더 가까워지는 느낌이 들어서 좋았어. 
그리고 미분적분학 1 같이 공부해줘서 정말 고마워. 내가 이해가 느린데 네가 천천히 가르쳐준 덕에 내가 공부하는 데 도움이 많이 되었어. 덕분에 강의 내용도 잘 이해하고 과제도 잘할 수 있었던 것 같아.
항상 고맙고 행복한 순간들로 가득하길 바라. 생일 축하해 태리야!
하님이가"
"캠핑을 하기로 했다. 
노래도 보르고 여유로운 시간 보내고 싶다고 했다. 
","태리에게,
태리야 안녕! 생일 축하해. 맛있는 거 먹었어?
강원도에서 함께한 캠핑은 정말 잊지 못한 순간들이었어. 캠프파이어를 피우고 별을 바라보며 노래도 불렀던 기억이 나. 엄청 음치인데도 즐겁게 노래를 불렀었잖아. 그때의 우리들의 웃음소리와 함성이 아직도 귓가에 맴돌아. 너와 함께 바쁜 일상을 잠시나마 잊고 여유롭게 즐거운 시간을 보낼 수 있어서 좋았어. 우리가 나눈 대화도 따뜻했고, 서로의 꿈과 비밀을 털어놓으며 더욱 친해질 수 있었다고 생각해. 강원도의 아름다운 자연 속에서 너와 함께 휴식 시간을 가질 수 있어서 정말 행복했고 그때가 너무 좋아서 나중에 기회가 되면 또 너랑 캠핑하고 싶어. 나랑 같이 가줘서 고마워.
태리야, 너의 미소와 에너지가 주변을 밝게 비추듯, 앞으로의 모든 날이 즐거운 일들로 가득 차길 바라. 생일 축하해.
하님이가"
"집에서 영화 보기로 했다
기말 과제 힘들었다고 했다.
","태리에게
태리야 안녕! 생일 축하해.
너와 함께 보낸 모든 순간은 행복했던 것 같아. 특히 너희 집에서 영화를 즐겁게 봤던 게 가장 기억에 남는다. 너희 집에서 영화를 보면서 느꼈던 따뜻한 분위기도 고맙고, 웃기려고 애쓰며 더 유쾌한 시간을 만들어 준 너에게도 진심으로 고마워. 너와 함께 있으면 항상 웃음이 나고 즐거워. 다음에 우리 집에 영화를 볼 수 있으면 너한테 먼저 얘기할게! 
그리고 지난번에 기말 과제 하는데 네가 아주 힘들어했던 기억이 나. 너는 충분히 잘 하고 있고 지금까지 많은 어려움을 극복해왔어. 이것 또한 네가 견딜 수 있을거야. 너무 지치면 전화해. 너에게 힘이 되고 위로가 되는 친구가 되어 줄 수 있도록 노력할게. 
새로운 한 해가 더 행복하고 즐거운 일들로 가득하기를 바라며, 태리의 빛나는 미래를 응원해! 생일 축하해. 
하님이가"
"베이킹을 배워보고 싶다고 했다.
고양이 그림을 보냈다.
","태리에게,
안녕 강태리! 나야 하님. 생일 진심으로 축하해. 
요즘 네가 즐겁게 베이킹 하는 모습을 보니까 더없이 기쁘다. 네가 취미를 찾아서 즐기는 모습을 보는 것만으로도 내 마음이 따뜻해지네. 너의 솜씨가 점점 더 향상되고 있는 것 같아 내가 다 기분이 좋아. 보내주는 베이킹 사진들을 보면 정말 대단하다고 생각해. 나중에 네가 만든 디저트 같이 먹어보고 싶어! 
그리고 드디어 네가 그려준 내 아기 고양이 그림 인쇄 해서 잘 받았어! 실물을 보니까 더 마음에 들어서 액자에 끼워뒀어. 네가 그린 그림을 보면서 너의 예술적 재능에 또 한 번 감탄했어. 이 값진 그림을 평생 간직할게. 고마워 태리야. 
네가 행복하고 건강한 모습으로 항상 웃고 있기를 바라며, 하루 하루가 즐겁고 행복하길 진심으로 기원한다. 생일 축하해.
하님이가"
"장학금을 땄다고 했다.
연극 보러  가자고 했다.
","다경이에게
안녕 다경아! 나야, 하님! 오늘 네 생일이구나. 생일 축하해! 오늘은 생일 기념으로 푹 쉬고 즐거운 시간 보내길 바라!
난 평소에 네가 참 대단한 친구라고 생각해. 저번에 네가 장학금 받았다는 소식을 듣고 되게 기뻐. 항상 열심히 노력하는 네 모습을 보면서 대단하다고 생각했어. 넌 정말 나에게 여러모로 좋은 영향을 주는 아이인가 봐. 
얼마 전에 대학로에 연극 보러 갔을 때도 네가 재밌어하는 모습을 보니까 더 기분 좋더라! 네가 연극 좋아할 거 같기도 했고 같이 보면 더 즐거울 거 같아서 같이 간 건데 상상 이상으로 훨씬 더 좋은 시간 보낸 거 같아! 너랑 있으면 사소한 순간들도 기쁘고 행복해! 고마워!
다경아, 나에게 항상 긍정적인 영향을 주는 친구가 되어줘서 고마워! 내가 항상 네 앞에 꽃길만 펼쳐지길 기도할게! 오늘 하루 너에게 최고의 생일이 되었으면 좋겠다! 생일 축하해!
하님이가"
"커플 반지를 맞추기로 했다.
면접 잘 봤다고 했다.
","다경이에게,
다경아, 생일 너무 축하해! 내가 1년에 단 한 번뿐인 네 생일을 축하해 줄 수 있다니 너무 기뻐!
우리가 학교 근처에서 커플 반지를 맞췄던 그날, 기억나? 뭔가 그날은 나한테 되게 특별하게 느껴진다? 나한테 소중한 친구인 너와 나 사이에 연결고리가 생긴 느낌이었거든! 반지를 볼 때마다 우리가 함께 보낸 시간들이 떠올라서 기분이 너무 좋아! 우리 이거 계속 끼고 있자!
얼마 전에 면접 봤다고 했지? 네가 면접을 잘 봤다고 해서 내가 얼마나 기뻤는지 몰라. 난 너의 노력과 능력을 잘 알고 있지만 다른 사람들은 널 처음 보니까 알아보기 쉽지 않잖아. 그런데도 면접에서 너의 노력과 능력을 다른 사람들에게 인정받은 네가 나는 너무 자랑스러워.
너는 항상 스스로를 믿으며 노력하는 사람이야! 그리고 난 그런 네가 미래에도 더 큰 성공을 이룰 거라고 확신해. 네가 이루고자 하는 모든 꿈과 목표들이 이뤄지기를 바라! 정말 생일 축하하고, 앞으로도 우리 계속 행복하게 지내자!
하님이가"
"뜨개질을 배우고 있다고 했다.
강아지를 맡겨놓을 곳이 없다고 했다.
","다경이에게,
안녕 다경아! 생일 축하해!
우리 집 강아지 며칠 동안 맡아줘서 고마워. 맡길 곳이 없어서 너무 걱정했는데 네가 봐주겠다고 하니까 얼마나 안심이 됐는지 몰라. 사료도 줘야 하고 목욕도 시켜야 하고 할 일이 많아서 너한테 많이 고맙기도 했지만 동시에 너무 미안했는데 같이 시간 보내서 좋았다고 하니까 다행이다. 우리 강아지도 너같이 좋은 아이와 함께여서 즐거웠을 거야. 다음에 우리 집 놀러 와! 우리 강아지가 너 많이 보고 싶어 하는 것 같아.
그리고 네가 직접 뜨개질해서 만들어준 열쇠고리 선물 진짜 마음에 들어. 나를 위해 직접 손으로 만든 선물이라니 정말 감동이야. 열쇠고리 너무 귀엽고 진짜 잘 만들었더라. 너한테 뜨개질하는 방법 배워야겠다! 가르쳐 줘!
이렇게 보니까 너한테 고마운 일 투성이네. 정말 고마워. 앞으로도 우리의 우정이 늘 영원했으면 좋겠다! 생일을 다시 한번 축하해!
하님이가."
"고양이 보고 싶다고 했다.
집 근처에서 산책 같이 하자고 했다.
","다경이에게,
다경아 안녕? 생일 진심으로 축하해. 오늘 맛있는 거 많이 먹고 행복하길 바라.
요즘 잘 지내? 너도 보고 싶고 네가 키우는 반려묘 밤비도 보고 싶어. 네가 밤비 처음 보여줬을 때 내가 많이 좋아했던 거 기억나?  밤비의 매력에 빠져서 네 집에서 집에서 많은 시간을 함께 보냈지. 집에서 너랑 영화도 보고, 밥도 먹고 밤비에게 사료도 주면서 너랑 더 친해지는 느낌이라 행복했었어. 가끔은 집 근처 공원에서 너와 함께 걸으면서 서로 어떻게 지내는지 물어보고 사소한 이야기까지 나누는 것도 즐거웠어. 그리고 밤비를 돌봐주는 너의 모습을 보면 착하고 따뜻하다고 생각했어. 밤비한테 잘 해주듯 내가 힘들어도 잘 도와주고 위로 잘해주는 너는 진짜 착하고 따뜻한 친구야. 우리 함께 더 많은 좋은 순간들을 만들어 가길 바라며 생일 축하해 다경아.
하님이가"
"집들이 선물 뭐 갖고 싶냐고 했다.
너희 집에서 감바스 해 먹고 싶다고 했다.
","다경이에게
생일 진심으로 축하해 다경아. 특별한 날인 오늘, 너에게 행복한 일들이 가득하기를 바라.
지난번에 네가 집들이 선물로 준 화분 잘 키우고 있어. 특히 침대 옆에 두었던 작은 화분은 매일 아침 일어나서 보면 기분이 좋아지더라! 네가 준 화분들 내가 매일 열심히 물도 주고 햇빛도 잘 받을 수 있게 해주면서 열심히 키우고 있어. 앞으로도 잘 키울게! 고마워.
그때 감바스 진짜 먹고 싶었는데 마침 네가 맛있게 해줘서 너무 좋았어. 고마워 다경아. 네가 만든 게 식당에서 먹은 것보다 훨씬 맛있더라! 그날 감바스 먹으면서 너랑 재미있는 이야기도 나누고 고민도 이야기하고, 정말 즐거웠어. 너와 함께 시간을 보내면 항상 재밌고 행복해.
다경아, 오늘 생일 축하하고, 우리의 우정 더 깊어질 수 있도록 많은 순간들을 앞으로도 함께하자!
하님이가"
"공부 끝나고 눈 사람 만들자고 했다.
알바 도와주기로 했다.
","다경이에게,
다경아, 생일 축하해! 생일에 사랑하는 사람들이랑 재밌는 시간 보내길 바랄게.
요즘 잘 지내? 밖이 많이 춥던데 따뜻하게 입고 다녀. 감기 걸리면 안 되잖아.
날이 추우니까 저번 겨울에 기말시험 준비할 때 생각난다. 그때 너랑 열람실에서 공부하고 있었는데 밖에 눈이 왔었잖아. 공부 끝난 뒤에 같이 눈사람 만들고 눈싸움도 했었는데, 기억나? 우리 둘 다 공부 때문에 지쳐있었는데 잠깐이나마 밖에 나가서 눈 내리는 것 보면서 기분 전환했었지. 난 그때의 기억이 지금도 생생하게 떠오를 만큼 너무 좋았어.
그리고 알바 대타해줘서 정말 고마워. 급한 사정이 생겨서 내가 못 나가게 됐는데 네가 도와줄 수 있다고 해서 진짜 안심했어. 고마워! 언젠간 내 도움이 필요하면 고민 없이 말해줘.
앞으로도 너랑 이대로 계속 친구 하고 싶다. 나의 영원한 친구가 되어줄 거지? 다경아, 오늘 생일 축하해! 행복하자!
하님이가"
"한강에 산책하기로 했다.
밤에 버스킹 하는 것 보기로 했다.
","선우에게,
선우야, 생일 축하해! 오늘이 네 생일이니까 행복한 하루를 보내길 바라. 어떻게 지내고 있어?
우리가 한강공원에 간 날이 생각나. 함께 걷던 한강공원의 산책로는 정말 아름다웠고, 바람을 맞으며 눈 부신 햇살 아래서 주변 풍경을 구경하던 그 시간이 떠오르네. 너와 함께 산책하면서 서로의 이야기를 나누고 농담도 치고 웃으면서 시간을 보내는 게 참 좋았어. 나중에 우리 테트를 대여해서 소퐁을 가자. 
그리고 밤에 내가 보자고 한 버스킹에 함께 가줘서 고마워. 그때의 시간은 짧았지만, 쌀쌀한 밤공기를 마시면서 노래를 감상하며 사진도 찍고 영상도 찍는 건 너무 즐거웠어. 또 다른 기회가 온다면 다시 함께 버스킹을 즐기고 싶어.
네가 행복해하고 웃는 모습을 함께 하며 성장해 나가는 우리의 우정을 더욱 깊이 간직하고 싶어. 생일 축하해 선우야.
하님이가"
"놀이공원 같이 가기로 했다.
학교복 빌리기로 했다.
점심은 놀이공원 안에 먹기로 했다. 

","선우에게,
생일 축하해 선우아. 오늘은 너의 특별한 날이니까 더욱더 행복하고 빛나길 바랄게.
저번에 함께 놀이공원에서 즐거운 시간을 보냈었던 게 떠오르네. 너랑 교복을 맞춰 입고 놀이공원에서 여기저기 뛰어다니고 이쁜 사진도 많이 찍었지. 오랜만에 너랑 놀이공원에 가니까 너무 행복했어. 그날 대기 줄이 엄청 길었지만 네가 그날 너무 즐거워 보여서 나도 자연스럽게 기분이 좋아지더라고. 놀이기구를 몇 개만 탈 수 있었어서 좀 아쉬움이 남아 있지만 그래도 너랑 하루 종일 웃고 즐겁게 보냈던 것 같아서 좋아. 그리고 점심값을 내준 거 고마워 선우야. 다음에 우리 같이 외식하면 내가 쏠게.
오늘 같은 특별한 날에 네가 가장 원하는 것들이 모두 이뤄지길 진심으로 바랄게. 앞으로도 더 멋진 일들이 너를 기다리길 진심으로 응원할게. 생일 축하해, 선우야.
하님이가"
"홈베이킹 같이 하기로 했다.

","선우에게,
선우아 안녕. 생일 진심으로 축하해. 오늘이 행복과 기쁨으로 가득하길 소망해. 우리가 함께 홈베이킹을 했던 날의 기억이 아직도 생생해. 레시피를 참고해서 함께 반죽을 만들고 서로의 요리 솜씨를 비교하며 크게 웃었던 그날 정말 재밌었어. 결과가 별로일까봐 오븐 앞에서 걱정했는데 생각보다 잘 나와서 신났던 기억이 떠오르네. 우리 같이 먹었던 빵의 맛도 정말 좋았지만, 무엇보다도 너랑 같이 농담을 하고 베이킹하면서 시간 보낼 수 있어서 너무나도 좋았어. 너와 함께하면 늘 즐겁고, 빵 만들어 먹는 거 하나로도 큰 행복을 느껴. 이런 시간을 더 많이 가질 수 있으면 좋겠다. 
네 꿈과 행복이 가득한 한 해가 되길 바라고, 다음에 만날 때까지 건강하고 행복하길 바라. 생일 축하해 선우아.
하님이가"
"책 빌려줘서 고맙다고 했다.
늦게 돌려줘서 마안하다고 했다.
공항에서 배웅해줘서 고맙다고 했다
","선우에게,
선우야 안녕! 나야 하님이. 생일 진심으로 축하해.
책을 빌려줘서 고마워 선우야. 덕분에 방학을 유익하게 보낼 수 있었어! 네가 빌려준 책이 정말 흥미롭고 재미있었어. 나름 여러 책을 읽어봤지만, 이렇게 흥미로운 내용의 책은 오랜만이었던 것 같아. 빌려준 책을 더 빨리 돌려주고 싶었는데 너도 알다시피 그때 내가 출국 준비 때문에 정신이 없었어. 많이 기다리게 해서 미안해! 
그리고 공항에서 배웅해 줘서 고마워. 배웅해 줄 줄 몰랐는데 배웅해 줘서 정말 감동이었어. 떠나는 마음 한 켠에 아쉬움이 있었지만 그래도 마지막으로 너를 볼 수 있으니까 좋았어. 
먼 곳에서도 언제나 선우의 행복을 빌며, 그리고 우리가 다시 만날 날을 기대하며 이렇게 생일 편지를 남길게. 생일 진심으로 축하해 선우야.
하님이가"
"창업경진대회에 나가기로 했다. 
힘들다고 했다.
","선우에게,
안녕 이선우. 생일 진심으로 축하해. 오늘 좋은 일이 일어나길 바랄게.
잘 지내고 있어? 너랑 창업경진대회 같이 나간 것 생각나. 함께 노력하고 협력한 그 시간은 서로를 더욱더 알아가는 기회가 되었던 것 같아. 대회를 준비하면서 끝까지 포기하지 않고 노력한 너의 모습이 정말 멋지고 자랑스러워. 내가 많이 힘들다고 얘기한 건 기억해? 그때 네가 잠깐 쉬어도 된다고 위로해 준 덕분에 더욱 힘을 내고 계속 나아갈 수 있었어. 너도 그때 많이 지쳤을 텐데 나까지 챙겨야 하니까 미안했어. 네가 사람을 대하는 태도는 정말 따뜻하고 배울 점이 많아. 너랑 친구인 게 기뻐.
선우야, 앞으로도 계속해서 좋은 일들이 가득하길 바라. 너의 꿈과 목표를 이루는 과정에서 어려움이 있더라도 나는 너를 믿고 응원할 거야. 생일 다시 한번 축하해.
하님이가"
"홍대에서 드로잉 카페에 가기로 했다. 
저녁 식사에 갈때 화장을 해주기로 했다.
","선우에게,
생일 진심으로 축하해 선우아! 생일에 좋은 일들로 가득하길 바라.
너랑 홍대에서 드로잉 카페 갔던 날 정말 즐거웠어! 생각보다 그림을 그리면서 마음이 차분해지고 편안했던 것 같아. 그날 너랑 새로운 경험을 할 수 있어서 너무 좋았어. 다음에 기회가 된다면 꼭 다시 함께 가고 싶어. 아니면 다른 카페에 가는 것도 좋아!
그리고 내가 저녁 식사 간 날 이쁘게 화장해 줘서 고마워 선우야. 내가 화장을 잘 못하는데, 네가 도와준 덕분에 사람들한테 칭찬도 많이 받고 그날 하루 종일 기분이 좋았어. 너밖에 없다 선우야. 화장은 내가 도와줄 수 없지만 다른 부탁이 있거나 도움이 필요하면 편하게 얘기해. 알았지?
앞으로도 우리가 행복한 시간을 보내면서 우리의 우정이 더욱 깊어지면 좋겠어. 항상 건강하고 생일 진심으로 축하해.
하님이가"
"스트레스를 받는다고 했다.
찜질방에 같이 가기로 했다. 
","혜선이에게,
혜선아 안녕! 생일 축하해. 생일에 더 많은 행복과 웃음이 가득하길 바라.
잘 있었어? 전에 너랑 찜질방에 같이 간 날이 생각나. 찜질방에서 함께 땀을 흘리고 서로한테 시원한 팩도 붙여주고 누워서 쉬는 게 너무 좋더라. 너랑 오랜만에 일상적인 이야기를 나누면서 회포를 풀고 기분전환을 할 있어서 좋았어. 네가 스트레스를 많이 받아서 찜질방에 가자고 했는데 그때 너도 조금이나마 스트레스를 풀 수 있었으면 좋겠다.
앞으로도 네가 힘들 때마다 함께 스트레스를 풀 수 있도록 내가 늘 곁에 있을게. 찜질방뿐만 아니라 다른 어떤 곳이든, 언제든지 네가 원할 때 같이 가줄게. 언제나 서로에게 힘이 되어주고, 함께 즐거운 시간을 보낼 수 있기를 바라. 네가 항상 행복했으면 좋겠어. 생일 진심으로 축하해.
하님이가"
"우정 앨범 만들기로 했다.
사계절 사진 찍기로 했다.
트윈룩 사진 찍기로 했다.
","혜선이에게,
혜선아 안녕. 나야 하님이. 생일 진심으로 축하해!
요즘 뭐 하고 있어? 너랑 우정 앨범을 만들기로 한 게 좋은 생각인 것 같아. 우정 앨범에 담겨있는 사진들이 다 좋아하지만, 너랑 사계절 내내 같은 장소에서 같이 찍은 사진이 가장 마음에 들어. 그 사진들을 보면 우리가 사계절 동안 함께 보낸 순간들이 생생하게 떠오르고 그때를 생각하면 웃음이 저절로 나와. 그리고 또 우리 같이 트윈룩을 입고 여기저기 돌아다니고 찍은 사진이 우리가 쌍둥이처럼 같아서 난 그렇게 기분이 좋더라. 트윈룩을 하고 밖에 돌아다니면 항상 주목받아서 불편했지만, 시간이 갈수록 재미있어.
너와 나의 우정 앨범은 마치 하나의 보물상자처럼 나한테는 엄청 특별해.
생일을 맞이하며 더 많은 행복과 기쁨이 찾아오길 진심으로 바랄게. 생일 축하해 내 친한 친구야.
하님이가"
"졸업 연주를 보기로 했다.
피아노 연주가 멋있어 보여서 가르쳐달라고 했다.
","혜선이에게,
혜선아 안녕! 생일 축하해. 
졸업작품 연주에 초대해 줘서 고마워. 진심으로 재미있게 관람했어. 네 연주를 보면서 네가 얼마나 노력을 했는지 느껴지더라. 네가 졸업 작품을 준비하면서 많이 힘들었다는 것 알아. 그동안 옆에서 지켜본 나로서는 네가 너무 멋지고 대단하다고 말하고 싶어. 끝까지 포기하지 않고 꿈을 향해 힘들었던 시간을 이겨낸 네 모습이 정말 대단하고 자랑스러워. 수고 많았고, 앞으로도 어떤 어려움이 있더라도 꾸준한 노력과 열정으로 이겨내길 믿어. 
내가 피아노를 가르쳐 달라고 한 것 기억하고 있지? 네가 연주하는 모습을 보면서 배워보고 싶다고 했었는데 너무 기대돼.
앞으로도 우리 함께 더 많은 추억 만들어 가길 바라. 생일 다시 한번 축하하고, 행복한 날들이 가득하길 바라!
하님이가"
